Date Time;Time inactive;Date Time;Time cooling;Date Time;Time heating;Date Time;Time hot water
10/20/2018, 12:00:00 PM;24;10/20/2018, 12:00:00 PM;0;10/20/2018, 12:00:00 PM;0;10/20/2018, 12:00:00 PM;0
10/21/2018, 12:00:00 PM;21.44;10/21/2018, 12:00:00 PM;0;10/21/2018, 12:00:00 PM;0.793;10/21/2018, 12:00:00 PM;1.507
10/22/2018, 12:00:00 PM;23.06;10/22/2018, 12:00:00 PM;0;10/22/2018, 12:00:00 PM;0;10/22/2018, 12:00:00 PM;0.92
10/23/2018, 12:00:00 PM;23.06;10/23/2018, 12:00:00 PM;0;10/23/2018, 12:00:00 PM;0;10/23/2018, 12:00:00 PM;0.92
10/24/2018, 12:00:00 PM;21.86;10/24/2018, 12:00:00 PM;0;10/24/2018, 12:00:00 PM;0;10/24/2018, 12:00:00 PM;2.1
10/25/2018, 12:00:00 PM;21.64;10/25/2018, 12:00:00 PM;0;10/25/2018, 12:00:00 PM;0.86;10/25/2018, 12:00:00 PM;1.42
10/26/2018, 12:00:00 PM;10.1;10/26/2018, 12:00:00 PM;0;10/26/2018, 12:00:00 PM;0.74;10/26/2018, 12:00:00 PM;3.04
10/27/2018, 12:00:00 PM;9.3;10/27/2018, 12:00:00 PM;0;10/27/2018, 12:00:00 PM;1.68;10/27/2018, 12:00:00 PM;0.94
10/28/2018, 12:00:00 PM;19.58;10/28/2018, 12:00:00 PM;0;10/28/2018, 12:00:00 PM;3.66;10/28/2018, 12:00:00 PM;0.64
10/29/2018, 12:00:00 PM;16.24;10/29/2018, 12:00:00 PM;0;10/29/2018, 12:00:00 PM;5.98;10/29/2018, 12:00:00 PM;1.58
10/30/2018, 12:00:00 PM;15.3;10/30/2018, 12:00:00 PM;0;10/30/2018, 12:00:00 PM;6.3;10/30/2018, 12:00:00 PM;2.2
10/31/2018, 12:00:00 PM;18.1;10/31/2018, 12:00:00 PM;0;10/31/2018, 12:00:00 PM;2.62;10/31/2018, 12:00:00 PM;3.14
11/1/2018, 12:00:00 PM;23.88;11/1/2018, 12:00:00 PM;0;11/1/2018, 12:00:00 PM;1.66;11/1/2018, 12:00:00 PM;0.38
11/2/2018, 12:00:00 PM;19.14;11/2/2018, 12:00:00 PM;0;11/2/2018, 12:00:00 PM;2.94;11/2/2018, 12:00:00 PM;1.8
11/3/2018, 12:00:00 PM;18.38;11/3/2018, 12:00:00 PM;0;11/3/2018, 12:00:00 PM;4.46;11/3/2018, 12:00:00 PM;1
11/4/2018, 12:00:00 PM;4.44;11/4/2018, 12:00:00 PM;0;11/4/2018, 12:00:00 PM;3.16;11/4/2018, 12:00:00 PM;2.28
11/5/2018, 12:00:00 PM;11.06;11/5/2018, 12:00:00 PM;0;11/5/2018, 12:00:00 PM;0.9;11/5/2018, 12:00:00 PM;0
11/6/2018, 12:00:00 PM;18.02;11/6/2018, 12:00:00 PM;0;11/6/2018, 12:00:00 PM;1.82;11/6/2018, 12:00:00 PM;4.06
11/7/2018, 12:00:00 PM;22.38;11/7/2018, 12:00:00 PM;0;11/7/2018, 12:00:00 PM;1.58;11/7/2018, 12:00:00 PM;0
11/8/2018, 12:00:00 PM;20.62;11/8/2018, 12:00:00 PM;0;11/8/2018, 12:00:00 PM;1.58;11/8/2018, 12:00:00 PM;1.72
11/9/2018, 12:00:00 PM;20.08;11/9/2018, 12:00:00 PM;0;11/9/2018, 12:00:00 PM;2.44;11/9/2018, 12:00:00 PM;1.36
11/10/2018, 12:00:00 PM;21.68;11/10/2018, 12:00:00 PM;0;11/10/2018, 12:00:00 PM;1.54;11/10/2018, 12:00:00 PM;0.72
11/11/2018, 12:00:00 PM;19.56;11/11/2018, 12:00:00 PM;0;11/11/2018, 12:00:00 PM;2.2;11/11/2018, 12:00:00 PM;2.1
