Date Time;Expansion valve;Date Time;Current consumption C1
10/2/2018, 10:00:00 AM;294;10/2/2018, 10:00:00 AM;3.9
10/2/2018, 12:00:00 PM;302;10/2/2018, 12:00:00 PM;3.8
10/2/2018, 2:00:00 PM;284;10/2/2018, 2:00:00 PM;4
10/2/2018, 4:00:00 PM;275;10/2/2018, 4:00:00 PM;4
10/3/2018, 2:00:00 AM;323;10/3/2018, 2:00:00 AM;4.8
10/3/2018, 4:00:00 AM;201;10/3/2018, 4:00:00 AM;6.1
10/3/2018, 10:00:00 AM;308;10/3/2018, 10:00:00 AM;3.8
10/3/2018, 8:00:00 PM;366;10/3/2018, 8:00:00 PM;4.4
10/3/2018, 10:00:00 PM;230;10/3/2018, 10:00:00 PM;5.8
10/4/2018, 6:00:00 AM;271;10/4/2018, 6:00:00 AM;5.5
10/4/2018, 8:00:00 PM;457;10/4/2018, 8:00:00 PM;4.1
10/4/2018, 10:00:00 PM;264;10/4/2018, 10:00:00 PM;5.6
10/6/2018, 2:00:00 AM;351;10/6/2018, 2:00:00 AM;4.8
10/6/2018, 4:00:00 AM;206;10/6/2018, 4:00:00 AM;6.1
10/7/2018, 2:00:00 AM;341;10/7/2018, 2:00:00 AM;4.9
10/7/2018, 4:00:00 AM;203;10/7/2018, 4:00:00 AM;6.2
10/8/2018, 2:00:00 AM;414;10/8/2018, 2:00:00 AM;4.2
10/8/2018, 4:00:00 AM;252;10/8/2018, 4:00:00 AM;5.7
10/9/2018, 2:00:00 AM;386;10/9/2018, 2:00:00 AM;4.4
10/9/2018, 4:00:00 AM;244;10/9/2018, 4:00:00 AM;5.8
10/10/2018, 2:00:00 AM;347;10/10/2018, 2:00:00 AM;4.8
10/10/2018, 4:00:00 AM;207;10/10/2018, 4:00:00 AM;6.1
10/11/2018, 2:00:00 AM;447;10/11/2018, 2:00:00 AM;3.9
10/11/2018, 4:00:00 AM;310;10/11/2018, 4:00:00 AM;5.4
10/12/2018, 2:00:00 AM;340;10/12/2018, 2:00:00 AM;5
