Date Time;T CH WPU in;Date Time;T CH WPU out;Date Time;T source WPU in;Date Time;T source WPU out
8/11/2018, 4:00:00 AM;20.7;8/11/2018, 4:00:00 AM;16.8;10/3/2018, 8:00:00 PM;10.6;10/3/2018, 8:00:00 PM;8.6
8/11/2018, 6:00:00 AM;20.1;8/11/2018, 6:00:00 AM;16.7;10/3/2018, 10:00:00 PM;10;10/3/2018, 10:00:00 PM;8.3
8/11/2018, 8:00:00 AM;20.1;8/11/2018, 8:00:00 AM;16.7;10/4/2018, 6:00:00 AM;11.9;10/4/2018, 6:00:00 AM;10.9
8/11/2018, 10:00:00 AM;20.1;8/11/2018, 10:00:00 AM;16.6;10/4/2018, 8:00:00 PM;10.2;10/4/2018, 8:00:00 PM;8.1
8/11/2018, 12:00:00 PM;20.1;8/11/2018, 12:00:00 PM;16.6;10/4/2018, 10:00:00 PM;9.6;10/4/2018, 10:00:00 PM;7.9
8/11/2018, 2:00:00 PM;20;8/11/2018, 2:00:00 PM;16.6;10/6/2018, 2:00:00 AM;10.6;10/6/2018, 2:00:00 AM;8.8
8/11/2018, 4:00:00 PM;20.2;8/11/2018, 4:00:00 PM;16.7;10/6/2018, 4:00:00 AM;10.2;10/6/2018, 4:00:00 AM;8.7
8/11/2018, 6:00:00 PM;20.4;8/11/2018, 6:00:00 PM;16.7;10/7/2018, 2:00:00 AM;10.7;10/7/2018, 2:00:00 AM;9
8/11/2018, 8:00:00 PM;20.2;8/11/2018, 8:00:00 PM;16.7;10/7/2018, 4:00:00 AM;10.4;10/7/2018, 4:00:00 AM;8.8
8/11/2018, 10:00:00 PM;20.2;8/11/2018, 10:00:00 PM;16.7;10/8/2018, 2:00:00 AM;10.6;10/8/2018, 2:00:00 AM;8.6
8/12/2018, 12:00:00 AM;20.2;8/12/2018, 12:00:00 AM;16.6;10/8/2018, 4:00:00 AM;10;10/8/2018, 4:00:00 AM;8.3
8/12/2018, 2:00:00 AM;20.2;8/12/2018, 2:00:00 AM;16.6;10/9/2018, 2:00:00 AM;10.6;10/9/2018, 2:00:00 AM;8.7
8/12/2018, 4:00:00 AM;20.9;8/12/2018, 4:00:00 AM;16.6;10/9/2018, 4:00:00 AM;10;10/9/2018, 4:00:00 AM;8.4
8/13/2018, 8:00:00 AM;20.2;8/13/2018, 8:00:00 AM;16.7;10/10/2018, 2:00:00 AM;10.7;10/10/2018, 2:00:00 AM;8.8
8/13/2018, 10:01:00 AM;20.2;8/13/2018, 10:01:00 AM;16.7;10/10/2018, 4:00:00 AM;10.3;10/10/2018, 4:00:00 AM;8.7
8/13/2018, 12:00:00 PM;20.2;8/13/2018, 12:00:00 PM;16.7;10/11/2018, 2:00:00 AM;10.5;10/11/2018, 2:00:00 AM;8.4
8/13/2018, 1:59:00 PM;20.2;8/13/2018, 1:59:00 PM;16.7;10/11/2018, 4:00:00 AM;9.8;10/11/2018, 4:00:00 AM;8
8/13/2018, 4:00:00 PM;20.2;8/13/2018, 4:00:00 PM;16.7;10/12/2018, 2:00:00 AM;10.9;10/12/2018, 2:00:00 AM;9.1
8/13/2018, 6:00:00 PM;20.1;8/13/2018, 6:00:00 PM;16.7;10/12/2018, 4:00:00 AM;10.4;10/12/2018, 4:00:00 AM;9
8/13/2018, 8:00:00 PM;20.2;8/13/2018, 8:00:00 PM;16.7;10/13/2018, 2:00:00 AM;11.3;10/13/2018, 2:00:00 AM;9.7
8/13/2018, 10:00:00 PM;20.2;8/13/2018, 10:00:00 PM;16.7;10/13/2018, 4:00:00 PM;10.6;10/13/2018, 4:00:00 PM;8.6
8/14/2018, 12:00:00 AM;20.1;8/14/2018, 12:00:00 AM;16.6;10/13/2018, 6:00:00 PM;10;10/13/2018, 6:00:00 PM;8.4
8/14/2018, 2:00:00 AM;20.1;8/14/2018, 2:00:00 AM;16.7;10/15/2018, 2:00:00 AM;11.3;10/15/2018, 2:00:00 AM;9.6
8/14/2018, 4:00:00 AM;21;8/14/2018, 4:00:00 AM;16.7;10/15/2018, 4:00:00 AM;10.9;10/15/2018, 4:00:00 AM;9.4
8/14/2018, 6:00:00 AM;20.4;8/14/2018, 6:00:00 AM;16.7;10/16/2018, 1:59:00 AM;11;10/16/2018, 1:59:00 AM;8.9
8/14/2018, 8:00:00 AM;20.2;8/14/2018, 8:00:00 AM;16.6;10/16/2018, 4:00:00 AM;10.3;10/16/2018, 4:00:00 AM;8.6
8/14/2018, 10:00:00 AM;20.1;8/14/2018, 10:00:00 AM;16.6;10/17/2018, 2:00:00 AM;11.3;10/17/2018, 2:00:00 AM;9.6
8/14/2018, 12:00:00 PM;20.1;8/14/2018, 12:00:00 PM;16.7;10/17/2018, 4:00:00 AM;10.9;10/17/2018, 4:00:00 AM;9.6
8/14/2018, 2:00:00 PM;20.1;8/14/2018, 2:00:00 PM;16.7;10/18/2018, 1:59:00 AM;10.8;10/18/2018, 1:59:00 AM;8.6
8/14/2018, 4:00:00 PM;20.1;8/14/2018, 4:00:00 PM;16.7;10/18/2018, 4:00:00 AM;9.9;10/18/2018, 4:00:00 AM;8.1
8/14/2018, 6:00:00 PM;20.1;8/14/2018, 6:00:00 PM;16.7;10/18/2018, 8:00:00 PM;10.8;10/18/2018, 8:00:00 PM;8.6
8/14/2018, 8:00:00 PM;20.1;8/14/2018, 8:00:00 PM;16.7;10/18/2018, 10:00:00 PM;9.8;10/18/2018, 10:00:00 PM;7.9
8/14/2018, 10:00:00 PM;20.1;8/14/2018, 10:00:00 PM;16.7;10/19/2018, 8:00:00 PM;10.4;10/19/2018, 8:00:00 PM;8.2
8/15/2018, 12:00:00 AM;20.1;8/15/2018, 12:00:00 AM;16.6;10/19/2018, 10:00:00 PM;9.7;10/19/2018, 10:00:00 PM;8
8/15/2018, 2:00:00 AM;20.7;8/15/2018, 2:00:00 AM;16.7;10/21/2018, 2:01:00 AM;10.7;10/21/2018, 2:01:00 AM;8.8
8/15/2018, 4:00:00 AM;20.4;8/15/2018, 4:00:00 AM;16.9;10/21/2018, 4:00:00 AM;10.2;10/21/2018, 4:00:00 AM;8.6
8/15/2018, 6:00:00 AM;20.2;8/15/2018, 6:00:00 AM;16.7;10/21/2018, 8:00:00 AM;10.8;10/21/2018, 8:00:00 AM;8.4
8/15/2018, 8:00:00 AM;20.1;8/15/2018, 8:00:00 AM;16.7;10/22/2018, 2:00:00 AM;11;10/22/2018, 2:00:00 AM;9.3
8/15/2018, 10:00:00 AM;20.1;8/15/2018, 10:00:00 AM;16.7;10/23/2018, 2:00:00 AM;11;10/23/2018, 2:00:00 AM;9.4
