Date Time;T compressed gas C1;Date Time;TcC1 CH (out);Date Time;TcC1 DHW (out);Date Time;TeC1 CH (in);Date Time;TeC1 DHW (in);Date Time;TcC1 (out);Date Time;TeC1 (in)
9/11/2018, 4:00:00 AM;74.1;11/2/2018, 10:00:00 PM;25.2;9/11/2018, 4:00:00 AM;53.3;11/2/2018, 10:00:00 PM;5;9/11/2018, 4:00:00 AM;6.3;;;;
9/12/2018, 2:00:00 AM;68.5;11/3/2018, 12:00:00 AM;26.6;9/12/2018, 2:00:00 AM;53.2;11/3/2018, 12:00:00 AM;4.1;9/12/2018, 2:00:00 AM;7.3;;;;
9/13/2018, 2:00:00 AM;51.7;11/3/2018, 2:00:00 AM;27.3;9/13/2018, 2:00:00 AM;38.6;11/3/2018, 2:00:00 AM;4.1;9/13/2018, 2:00:00 AM;5.7;;;;
9/13/2018, 4:00:00 AM;76;11/3/2018, 4:00:00 AM;29.2;9/13/2018, 4:00:00 AM;54.8;11/3/2018, 4:00:00 AM;3.8;9/13/2018, 4:00:00 AM;6.4;;;;
9/13/2018, 12:00:00 PM;60.7;11/3/2018, 6:00:00 AM;27.7;9/13/2018, 12:00:00 PM;43.6;11/3/2018, 6:00:00 AM;4.5;9/13/2018, 12:00:00 PM;6;;;;
9/13/2018, 2:00:00 PM;83.8;11/3/2018, 8:00:00 AM;26.3;9/13/2018, 2:00:00 PM;58.2;11/3/2018, 8:00:00 AM;4.4;9/13/2018, 2:00:00 PM;6.3;;;;
9/14/2018, 2:00:00 AM;56.4;11/3/2018, 10:00:00 AM;27.6;9/14/2018, 2:00:00 AM;42.1;11/3/2018, 10:00:00 AM;3.9;9/14/2018, 2:00:00 AM;6;;;;
9/14/2018, 4:00:00 AM;79.4;11/3/2018, 8:00:00 PM;26.2;9/14/2018, 4:00:00 AM;56.8;11/3/2018, 8:00:00 PM;4.7;9/14/2018, 4:00:00 AM;6.5;;;;
9/15/2018, 2:00:00 AM;46;11/3/2018, 10:00:00 PM;26.7;9/15/2018, 2:00:00 AM;32.8;11/3/2018, 10:00:00 PM;4;9/15/2018, 2:00:00 AM;5.1;;;;
9/15/2018, 4:00:00 AM;71.1;11/4/2018, 12:00:00 AM;26.4;9/15/2018, 4:00:00 AM;50.9;11/4/2018, 12:00:00 AM;4.3;9/15/2018, 4:00:00 AM;5.9;;;;
9/16/2018, 2:00:00 AM;48;11/4/2018, 4:00:00 AM;27.5;9/16/2018, 2:00:00 AM;34.9;11/4/2018, 4:00:00 AM;3.6;9/16/2018, 2:00:00 AM;5.4;;;;
9/16/2018, 4:00:00 AM;72.8;11/4/2018, 6:00:00 AM;26.9;9/16/2018, 4:00:00 AM;52.3;11/4/2018, 6:00:00 AM;4.6;9/16/2018, 4:00:00 AM;6.1;;;;
